GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,44,82,126,20,47,67,8,12,20,0,0,0
3.750-3.999,4,2,6,17,39,56,10,13,23,0,2,2
3.500-3.749,27,38,65,35,54,89,11,18,29,0,2,2
3.250-3.499,7,20,27,38,52,90,13,22,35,2,0,2
3.000-3.249,54,60,114,67,80,147,13,32,45,3,2,5
2.750-2.999,12,7,19,47,51,98,29,33,62,3,2,5
2.500-2.749,24,18,42,43,56,99,32,29,61,3,4,7
2.250-2.499,6,10,16,48,41,89,29,20,49,4,2,6
2.000-2.249,20,31,51,45,50,95,34,11,45,5,3,8
1.750-1.999,10,4,14,28,14,42,11,7,18,1,1,2
1.500-1.749,9,3,12,26,11,37,5,1,6,0,0,0
1.250-1.499,4,3,7,4,4,8,0,1,1,0,0,0
1.000-1.249,9,3,12,0,3,3,1,0,1,0,0,0
0.750-0.999,4,0,4,1,0,1,0,0,0,0,0,0
0.500-0.749,2,0,2,2,0,2,0,0,0,0,0,0
0.250-0.499,1,0,1,0,0,0,0,0,0,0,0,0
0.000-0.249,8,2,10,0,0,0,0,0,0,0,0,0
