GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,18,45,63,42,106,148,32,67,99,27,78,105
3.750-3.999,21,39,60,45,114,159,61,165,226,139,337,476
3.500-3.749,16,53,69,68,123,191,93,225,318,171,415,586
3.250-3.499,21,26,47,87,134,221,147,221,368,215,384,599
3.000-3.249,27,29,56,85,130,215,155,229,384,239,330,569
2.750-2.999,17,27,44,54,123,177,133,196,329,179,282,461
2.500-2.749,15,19,34,52,65,117,120,126,246,146,181,327
2.250-2.499,13,16,29,33,47,80,83,62,145,112,113,225
2.000-2.249,10,15,25,23,32,55,47,34,81,64,47,111
1.750-1.999,7,4,11,15,10,25,18,14,32,15,9,24
1.500-1.749,5,2,7,7,9,16,6,7,13,2,1,3
1.250-1.499,3,3,6,1,3,4,3,2,5,1,0,1
1.000-1.249,1,2,3,3,2,5,2,5,7,0,0,0
0.750-0.999,2,1,3,0,0,0,0,0,0,0,0,0
0.500-0.749,1,1,2,0,1,1,0,1,1,0,0,0
0.250-0.499,0,3,3,1,0,1,0,1,1,0,1,1
0.000-0.249,3,5,8,4,4,8,2,0,2,0,0,0
