GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,1,1,2,15,31,46,12,29,41,18,41,59
3.750-3.999,2,2,4,25,56,81,51,74,125,95,195,290
3.500-3.749,7,3,10,39,85,124,66,148,214,152,323,475
3.250-3.499,8,4,12,46,76,122,104,130,234,206,336,542
3.000-3.249,10,11,21,47,86,133,107,159,266,232,332,564
2.750-2.999,6,18,24,40,61,101,110,115,225,267,250,517
2.500-2.749,12,12,24,49,65,114,96,108,204,194,172,366
2.250-2.499,4,8,12,26,39,65,78,61,139,144,127,271
2.000-2.249,6,7,13,19,21,40,56,28,84,96,71,167
1.750-1.999,5,2,7,14,17,31,20,14,34,16,16,32
1.500-1.749,3,1,4,2,9,11,7,3,10,6,3,9
1.250-1.499,3,2,5,1,3,4,2,2,4,0,0,0
1.000-1.249,1,1,2,1,3,4,3,1,4,0,0,0
0.750-0.999,0,0,0,1,0,1,1,0,1,1,0,1
0.500-0.749,1,1,2,2,0,2,0,1,1,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,2,2,2,0,2,1,1,2,0,0,0
