GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,1,1,8,11,19,16,6,22,7,8,15
3.750-3.999,1,0,1,17,15,32,29,35,64,40,67,107
3.500-3.749,2,1,3,29,27,56,59,45,104,120,117,237
3.250-3.499,4,3,7,33,14,47,82,32,114,168,104,272
3.000-3.249,3,8,11,42,30,72,85,40,125,224,91,315
2.750-2.999,4,3,7,25,5,30,93,19,112,204,55,259
2.500-2.749,4,2,6,41,10,51,65,15,80,115,23,138
2.250-2.499,3,1,4,24,10,34,29,5,34,61,16,77
2.000-2.249,3,3,6,8,2,10,24,6,30,21,7,28
1.750-1.999,3,2,5,4,1,5,4,1,5,5,0,5
1.500-1.749,0,1,1,3,1,4,2,0,2,0,1,1
1.250-1.499,1,0,1,1,0,1,1,0,1,0,0,0
1.000-1.249,0,0,0,1,0,1,1,0,1,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,1,0,1,0,0,0,0,0,0
