GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,4,4,8,55,63,3,76,79,7,78,85
3.750-3.999,2,5,7,16,89,105,19,137,156,53,498,551
3.500-3.749,3,9,12,21,105,126,40,186,226,106,577,683
3.250-3.499,6,10,16,24,94,118,53,164,217,135,399,534
3.000-3.249,6,16,22,25,81,106,40,123,163,142,286,428
2.750-2.999,2,10,12,18,61,79,32,72,104,111,143,254
2.500-2.749,11,4,15,31,44,75,41,50,91,85,84,169
2.250-2.499,3,4,7,12,14,26,20,24,44,49,35,84
2.000-2.249,3,3,6,10,10,20,11,7,18,25,17,42
1.750-1.999,0,3,3,1,3,4,6,1,7,2,4,6
1.500-1.749,1,2,3,2,2,4,1,0,1,0,0,0
1.250-1.499,0,1,1,0,1,1,0,1,1,0,0,0
1.000-1.249,0,1,1,1,0,1,0,0,0,0,0,0
0.750-0.999,1,0,1,0,0,0,0,0,0,0,0,0
0.500-0.749,1,0,1,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,1,1,0,0,0,0,0,0
