GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,2,2,4,3,7,2,3,5,8,6,14
3.750-3.999,1,2,3,10,7,17,13,12,25,27,26,53
3.500-3.749,4,4,8,7,9,16,16,5,21,39,27,66
3.250-3.499,3,1,4,19,14,33,14,13,27,53,35,88
3.000-3.249,6,0,6,32,11,43,33,19,52,73,42,115
2.750-2.999,8,4,12,21,11,32,35,8,43,82,46,128
2.500-2.749,9,11,20,34,19,53,23,16,39,68,43,111
2.250-2.499,7,5,12,29,10,39,15,21,36,62,24,86
2.000-2.249,13,11,24,22,10,32,22,6,28,34,12,46
1.750-1.999,9,3,12,7,9,16,9,5,14,8,8,16
1.500-1.749,13,4,17,5,4,9,1,5,6,1,3,4
1.250-1.499,1,3,4,1,2,3,1,2,3,0,0,0
1.000-1.249,6,2,8,0,1,1,0,3,3,0,0,0
0.750-0.999,4,4,8,0,0,0,0,1,1,0,0,0
0.500-0.749,2,4,6,0,1,1,0,0,0,0,0,0
0.250-0.499,2,0,2,1,0,1,0,1,1,0,0,0
0.000-0.249,0,2,2,0,0,0,0,0,0,0,0,0
