GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,60,62,122,358,392,750,257,351,608,286,397,683
3.750-3.999,97,64,161,584,579,1163,610,758,1368,1226,1838,3064
3.500-3.749,176,110,286,666,736,1402,795,943,1738,1719,2431,4150
3.250-3.499,181,107,288,683,683,1366,984,930,1914,2121,2210,4331
3.000-3.249,213,139,352,720,663,1383,1018,920,1938,2284,2004,4288
2.750-2.999,177,113,290,574,473,1047,886,655,1541,1852,1293,3145
2.500-2.749,195,105,300,526,428,954,776,510,1286,1372,825,2197
2.250-2.499,117,74,191,366,269,635,483,261,744,790,457,1247
2.000-2.249,115,88,203,279,172,451,312,138,450,416,235,651
1.750-1.999,71,41,112,112,71,183,99,62,161,94,58,152
1.500-1.749,57,30,87,60,46,106,37,17,54,19,12,31
1.250-1.499,39,25,64,30,17,47,11,7,18,2,1,3
1.000-1.249,38,13,51,20,12,32,11,7,18,1,0,1
0.750-0.999,22,6,28,5,2,7,1,0,1,2,0,2
0.500-0.749,12,6,18,3,2,5,2,3,5,1,0,1
0.250-0.499,8,3,11,4,1,5,3,0,3,0,0,0
0.000-0.249,11,7,18,13,5,18,3,2,5,0,0,0
