GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,1,4,5,12,33,45,11,29,40,15,42,57
3.750-3.999,2,4,6,22,49,71,24,78,102,69,143,212
3.500-3.749,4,8,12,19,54,73,41,65,106,71,172,243
3.250-3.499,3,9,12,18,60,78,40,55,95,70,145,215
3.000-3.249,6,7,13,21,52,73,21,67,88,59,115,174
2.750-2.999,4,10,14,17,40,57,26,41,67,38,95,133
2.500-2.749,5,14,19,16,36,52,16,38,54,25,58,83
2.250-2.499,2,5,7,15,29,44,8,19,27,14,34,48
2.000-2.249,2,5,7,4,24,28,4,11,15,8,17,25
1.750-1.999,3,4,7,5,9,14,0,6,6,5,3,8
1.500-1.749,3,5,8,3,3,6,0,0,0,0,1,1
1.250-1.499,0,3,3,1,0,1,0,1,1,0,0,0
1.000-1.249,2,1,3,3,2,5,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,1,0,1,0,0,0,0,0,0
