GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,25,37,62,37,92,129,35,64,99,24,67,91
3.750-3.999,9,28,37,32,72,104,64,139,203,121,223,344
3.500-3.749,19,38,57,68,99,167,88,150,238,174,342,516
3.250-3.499,22,37,59,52,104,156,101,166,267,244,345,589
3.000-3.249,22,49,71,60,102,162,132,143,275,253,324,577
2.750-2.999,7,25,32,25,54,79,95,101,196,195,224,419
2.500-2.749,17,28,45,45,47,92,72,74,146,176,170,346
2.250-2.499,9,21,30,39,29,68,59,51,110,130,88,218
2.000-2.249,10,10,20,35,27,62,25,40,65,65,53,118
1.750-1.999,3,10,13,7,11,18,15,9,24,14,14,28
1.500-1.749,1,5,6,3,8,11,9,7,16,3,1,4
1.250-1.499,0,6,6,4,2,6,4,1,5,1,2,3
1.000-1.249,2,2,4,3,2,5,0,1,1,0,0,0
0.750-0.999,2,1,3,0,1,1,1,0,1,0,0,0
0.500-0.749,1,3,4,1,1,2,1,0,1,0,0,0
0.250-0.499,1,1,2,0,1,1,0,0,0,0,0,0
0.000-0.249,8,7,15,4,3,7,1,2,3,0,0,0
