GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,4,11,15,7,21,28,10,47,57,16,29,45
3.750-3.999,0,0,0,15,29,44,25,83,108,59,156,215
3.500-3.749,0,5,5,8,32,40,55,120,175,82,200,282
3.250-3.499,0,1,1,13,25,38,49,121,170,105,186,291
3.000-3.249,4,3,7,15,18,33,67,123,190,121,184,305
2.750-2.999,0,2,2,10,7,17,39,52,91,101,126,227
2.500-2.749,2,3,5,12,8,20,19,45,64,72,94,166
2.250-2.499,2,1,3,3,10,13,18,18,36,41,45,86
2.000-2.249,2,1,3,1,5,6,23,10,33,23,22,45
1.750-1.999,0,0,0,2,0,2,1,3,4,3,3,6
1.500-1.749,0,0,0,0,1,1,1,2,3,0,0,0
1.250-1.499,0,0,0,0,0,0,0,0,0,0,0,0
1.000-1.249,0,1,1,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,1,1,2,0,0,0,0,0,0,0,0,0
