GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,1,1,2,15,10,25,20,16,36,16,13,29
3.750-3.999,3,0,3,22,24,46,45,49,94,85,96,181
3.500-3.749,4,5,9,36,29,65,67,48,115,156,110,266
3.250-3.499,5,3,8,38,21,59,93,50,143,178,105,283
3.000-3.249,3,4,7,37,15,52,84,30,114,225,69,294
2.750-2.999,4,2,6,22,11,33,61,17,78,200,41,241
2.500-2.749,6,2,8,20,7,27,49,16,65,96,29,125
2.250-2.499,3,0,3,9,2,11,35,10,45,57,11,68
2.000-2.249,1,0,1,15,0,15,9,6,15,15,3,18
1.750-1.999,0,0,0,5,2,7,4,2,6,5,2,7
1.500-1.749,4,0,4,3,1,4,3,0,3,0,0,0
1.250-1.499,0,1,1,2,1,3,2,0,2,0,0,0
1.000-1.249,0,0,0,0,0,0,0,0,0,0,0,0
0.750-0.999,0,1,1,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,1,1,3,0,3,1,0,1,0,0,0
