GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,1,1,8,82,90,22,115,137,10,106,116
3.750-3.999,3,5,8,16,98,114,42,191,233,77,554,631
3.500-3.749,2,8,10,28,104,132,52,184,236,126,598,724
3.250-3.499,3,10,13,19,66,85,65,145,210,157,412,569
3.000-3.249,10,10,20,19,55,74,57,107,164,145,234,379
2.750-2.999,4,3,7,24,38,62,38,54,92,83,109,192
2.500-2.749,9,12,21,12,33,45,34,47,81,55,69,124
2.250-2.499,5,9,14,11,7,18,23,16,39,32,22,54
2.000-2.249,4,2,6,9,11,20,15,5,20,16,12,28
1.750-1.999,6,4,10,4,6,10,1,4,5,1,5,6
1.500-1.749,2,0,2,1,2,3,2,2,4,0,1,1
1.250-1.499,1,1,2,4,1,5,1,1,2,0,0,0
1.000-1.249,1,1,2,0,0,0,1,1,2,0,0,0
0.750-0.999,0,0,0,1,2,3,1,0,1,0,0,0
0.500-0.749,1,1,2,0,0,0,1,0,1,0,0,0
0.250-0.499,0,1,1,0,0,0,0,0,0,0,0,0
0.000-0.249,2,0,2,0,0,0,0,0,0,0,0,0
