GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,1,1,3,4,7,1,6,7,5,8,13
3.750-3.999,2,1,3,11,10,21,8,5,13,23,28,51
3.500-3.749,2,4,6,13,9,22,18,8,26,32,29,61
3.250-3.499,3,2,5,23,9,32,17,10,27,50,33,83
3.000-3.249,10,1,11,26,13,39,27,12,39,80,36,116
2.750-2.999,8,4,12,20,24,44,21,19,40,54,40,94
2.500-2.749,11,3,14,20,17,37,19,12,31,53,31,84
2.250-2.499,12,5,17,23,8,31,29,9,38,40,17,57
2.000-2.249,9,3,12,9,10,19,12,12,24,17,14,31
1.750-1.999,9,3,12,6,11,17,2,8,10,9,2,11
1.500-1.749,4,5,9,6,7,13,4,0,4,1,2,3
1.250-1.499,3,8,11,4,5,9,1,1,2,0,2,2
1.000-1.249,4,5,9,2,0,2,0,0,0,0,0,0
0.750-0.999,3,6,9,0,2,2,0,0,0,0,0,0
0.500-0.749,6,2,8,0,0,0,0,0,0,0,0,0
0.250-0.499,2,0,2,0,0,0,1,1,2,0,0,0
0.000-0.249,2,3,5,0,1,1,1,0,1,0,0,0
