GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,1,0,1,8,16,24,9,15,24,19,13,32
3.750-3.999,1,0,1,12,8,20,26,28,54,28,30,58
3.500-3.749,1,1,2,10,11,21,14,27,41,32,44,76
3.250-3.499,1,0,1,12,9,21,19,22,41,39,43,82
3.000-3.249,1,1,2,9,10,19,16,22,38,40,40,80
2.750-2.999,2,0,2,7,4,11,11,14,25,34,32,66
2.500-2.749,1,2,3,8,8,16,6,9,15,21,24,45
2.250-2.499,1,0,1,3,9,12,9,10,19,10,13,23
2.000-2.249,2,0,2,0,5,5,2,7,9,4,10,14
1.750-1.999,0,1,1,2,2,4,0,0,0,2,1,3
1.500-1.749,0,1,1,2,1,3,0,1,1,0,1,1
1.250-1.499,0,0,0,0,0,0,0,0,0,0,1,1
1.000-1.249,0,0,0,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,0,0,0,0,0,0,0,0
