GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,57,53,110,93,141,234,130,195,325,164,259,423
3.750-3.999,5,3,8,138,151,289,299,372,671,605,884,1489
3.500-3.749,66,53,119,176,190,366,356,455,811,845,1039,1884
3.250-3.499,17,8,25,155,141,296,397,402,799,994,1030,2024
3.000-3.249,57,63,120,163,156,319,405,392,797,1020,822,1842
2.750-2.999,25,10,35,134,99,233,272,205,477,833,566,1399
2.500-2.749,44,33,77,116,77,193,247,165,412,615,406,1021
2.250-2.499,23,9,32,75,54,129,156,108,264,336,190,526
2.000-2.249,31,18,49,66,47,113,90,56,146,139,93,232
1.750-1.999,13,9,22,23,14,37,20,26,46,17,24,41
1.500-1.749,10,8,18,8,6,14,10,7,17,2,3,5
1.250-1.499,5,1,6,3,3,6,5,4,9,0,1,1
1.000-1.249,5,4,9,2,2,4,1,1,2,0,0,0
0.750-0.999,1,0,1,0,1,1,0,0,0,1,0,1
0.500-0.749,1,0,1,0,0,0,0,1,1,0,0,0
0.250-0.499,0,1,1,1,0,1,0,0,0,0,0,0
0.000-0.249,3,2,5,3,4,7,5,7,12,4,10,14
