GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,3,3,10,84,94,17,105,122,13,115,128
3.750-3.999,1,7,8,16,87,103,33,191,224,90,546,636
3.500-3.749,2,7,9,28,134,162,58,211,269,136,524,660
3.250-3.499,5,11,16,34,93,127,60,154,214,148,368,516
3.000-3.249,4,10,14,25,74,99,60,119,179,120,222,342
2.750-2.999,3,5,8,20,61,81,42,59,101,85,107,192
2.500-2.749,4,4,8,20,31,51,22,44,66,57,75,132
2.250-2.499,6,5,11,11,11,22,17,16,33,31,25,56
2.000-2.249,5,3,8,2,5,7,16,6,22,15,11,26
1.750-1.999,1,1,2,0,2,2,0,2,2,3,2,5
1.500-1.749,0,0,0,0,2,2,1,2,3,0,2,2
1.250-1.499,0,3,3,1,0,1,0,1,1,0,0,0
1.000-1.249,0,1,1,0,0,0,0,1,1,0,0,0
0.750-0.999,1,0,1,1,0,1,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,1,0,1,0,0,0
0.000-0.249,0,1,1,0,0,0,0,0,0,0,0,0
