GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,451,79,530,503,123,626,225,74,299,258,92,350
3.750-3.999,216,38,254,316,78,394,392,98,490,906,294,1200
3.500-3.749,334,80,414,375,120,495,369,89,458,1027,330,1357
3.250-3.499,283,58,341,374,102,476,418,128,546,1048,326,1374
3.000-3.249,343,90,433,411,114,525,440,129,569,1065,289,1354
2.750-2.999,172,54,226,286,77,363,355,85,440,767,205,972
2.500-2.749,173,51,224,230,66,296,245,68,313,544,136,680
2.250-2.499,143,27,170,152,46,198,139,46,185,301,60,361
2.000-2.249,106,22,128,90,27,117,95,21,116,143,25,168
1.750-1.999,52,17,69,58,16,74,37,7,44,18,7,25
1.500-1.749,54,18,72,28,10,38,18,3,21,2,2,4
1.250-1.499,40,11,51,13,3,16,6,2,8,1,1,2
1.000-1.249,21,7,28,10,2,12,7,1,8,0,0,0
0.750-0.999,11,2,13,2,2,4,1,0,1,0,0,0
0.500-0.749,10,5,15,1,0,1,1,0,1,0,0,0
0.250-0.499,2,1,3,1,0,1,2,0,2,0,0,0
0.000-0.249,41,9,50,8,2,10,0,1,1,1,0,1
