GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,40,42,82,53,73,126,2,13,15,0,0,0
3.750-3.999,12,23,35,36,62,98,5,19,24,1,4,5
3.500-3.749,41,34,75,61,94,155,22,32,54,0,5,5
3.250-3.499,33,27,60,62,105,167,31,39,70,1,4,5
3.000-3.249,35,37,72,59,139,198,36,45,81,2,6,8
2.750-2.999,28,29,57,63,76,139,32,56,88,3,5,8
2.500-2.749,34,33,67,77,72,149,48,30,78,5,3,8
2.250-2.499,31,21,52,67,62,129,36,26,62,3,3,6
2.000-2.249,32,22,54,53,42,95,34,22,56,3,5,8
1.750-1.999,19,10,29,31,27,58,17,17,34,0,1,1
1.500-1.749,15,17,32,22,15,37,7,10,17,0,0,0
1.250-1.499,15,12,27,5,9,14,2,4,6,0,0,0
1.000-1.249,6,10,16,5,1,6,1,2,3,0,0,0
0.750-0.999,4,13,17,3,1,4,0,0,0,0,0,0
0.500-0.749,5,7,12,1,1,2,0,1,1,0,0,0
0.250-0.499,5,4,9,1,0,1,0,0,0,0,0,0
0.000-0.249,14,8,22,3,1,4,0,2,2,0,0,0
