GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,5,2,7,68,57,125,55,55,110,43,61,104
3.750-3.999,6,8,14,96,86,182,131,128,259,278,276,554
3.500-3.749,9,9,18,98,85,183,138,155,293,294,328,622
3.250-3.499,11,5,16,89,70,159,144,112,256,272,222,494
3.000-3.249,13,13,26,66,57,123,102,67,169,204,154,358
2.750-2.999,10,6,16,37,34,71,42,37,79,103,82,185
2.500-2.749,12,4,16,33,23,56,32,21,53,62,29,91
2.250-2.499,4,1,5,9,8,17,24,6,30,27,16,43
2.000-2.249,4,0,4,11,5,16,7,3,10,12,6,18
1.750-1.999,1,0,1,3,1,4,1,1,2,1,1,2
1.500-1.749,2,0,2,0,1,1,0,0,0,0,0,0
1.250-1.499,0,0,0,1,1,2,0,0,0,0,0,0
1.000-1.249,0,0,0,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,0,0,0,0,0,0,0,0
