GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,257,304,561,204,352,556,160,230,390,133,285,418
3.750-3.999,45,65,110,146,221,367,210,346,556,340,760,1100
3.500-3.749,115,189,304,197,346,543,208,413,621,385,835,1220
3.250-3.499,104,131,235,210,274,484,210,355,565,377,780,1157
3.000-3.249,181,242,423,204,337,541,190,328,518,385,628,1013
2.750-2.999,87,69,156,153,182,335,163,242,405,349,389,738
2.500-2.749,82,133,215,133,184,317,140,166,306,246,298,544
2.250-2.499,54,66,120,85,113,198,109,108,217,174,164,338
2.000-2.249,56,95,151,97,94,191,77,81,158,96,95,191
1.750-1.999,22,37,59,48,46,94,28,27,55,27,25,52
1.500-1.749,44,32,76,25,22,47,19,13,32,6,5,11
1.250-1.499,15,26,41,9,15,24,2,2,4,1,0,1
1.000-1.249,23,26,49,10,4,14,1,6,7,1,0,1
0.750-0.999,6,7,13,1,4,5,0,0,0,0,0,0
0.500-0.749,7,9,16,5,7,12,1,1,2,0,0,0
0.250-0.499,5,8,13,1,5,6,0,2,2,0,0,0
0.000-0.249,31,39,70,3,4,7,1,2,3,0,0,0
