GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,12,6,18,16,25,41,20,20,40,11,23,34
3.750-3.999,6,6,12,11,23,34,20,26,46,44,69,113
3.500-3.749,7,7,14,18,21,39,27,24,51,64,53,117
3.250-3.499,15,7,22,12,23,35,31,27,58,54,59,113
3.000-3.249,7,6,13,18,17,35,29,28,57,55,45,100
2.750-2.999,1,2,3,9,9,18,17,16,33,19,26,45
2.500-2.749,0,4,4,6,3,9,15,11,26,19,22,41
2.250-2.499,1,1,2,9,2,11,9,7,16,14,8,22
2.000-2.249,0,2,2,5,4,9,6,4,10,8,4,12
1.750-1.999,0,0,0,2,1,3,2,1,3,6,1,7
1.500-1.749,0,1,1,1,2,3,1,0,1,0,1,1
1.250-1.499,0,0,0,1,0,1,0,1,1,0,0,0
1.000-1.249,0,0,0,1,0,1,1,1,2,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,2,2,0,0,0,0,0,0,0,0,0
