GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,434,105,539,426,99,525,254,65,319,291,83,374
3.750-3.999,239,52,291,284,62,346,474,114,588,904,306,1210
3.500-3.749,323,96,419,432,113,545,418,132,550,1048,315,1363
3.250-3.499,277,70,347,381,108,489,500,136,636,1075,309,1384
3.000-3.249,342,105,447,434,123,557,467,139,606,1094,312,1406
2.750-2.999,171,63,234,303,96,399,364,93,457,780,222,1002
2.500-2.749,166,54,220,271,77,348,287,77,364,595,136,731
2.250-2.499,83,17,100,154,47,201,131,39,170,281,61,342
2.000-2.249,113,27,140,121,41,162,84,20,104,119,34,153
1.750-1.999,36,9,45,46,16,62,41,12,53,23,8,31
1.500-1.749,32,11,43,15,2,17,10,5,15,0,0,0
1.250-1.499,17,6,23,11,7,18,2,3,5,0,0,0
1.000-1.249,24,9,33,8,1,9,2,2,4,0,0,0
0.750-0.999,8,3,11,0,0,0,1,1,2,0,0,0
0.500-0.749,5,0,5,0,0,0,2,0,2,0,0,0
0.250-0.499,7,1,8,0,0,0,2,0,2,0,0,0
0.000-0.249,26,7,33,8,2,10,2,1,3,0,0,0
