GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,8,8,16,2,6,8,1,1,2,1,0,1
3.750-3.999,6,6,12,8,2,10,8,9,17,13,11,24
3.500-3.749,10,15,25,5,13,18,11,6,17,15,11,26
3.250-3.499,5,5,10,9,7,16,8,5,13,12,17,29
3.000-3.249,8,5,13,22,12,34,9,9,18,13,18,31
2.750-2.999,5,4,9,8,8,16,10,10,20,11,20,31
2.500-2.749,6,6,12,5,6,11,15,11,26,22,17,39
2.250-2.499,1,4,5,8,5,13,3,4,7,12,9,21
2.000-2.249,8,2,10,2,6,8,7,1,8,5,5,10
1.750-1.999,5,0,5,2,1,3,2,0,2,0,1,1
1.500-1.749,4,2,6,0,0,0,1,0,1,0,0,0
1.250-1.499,0,3,3,0,0,0,0,0,0,0,0,0
1.000-1.249,2,0,2,0,0,0,0,0,0,0,0,0
0.750-0.999,1,0,1,0,0,0,0,0,0,0,0,0
0.500-0.749,1,1,2,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,3,2,5,0,0,0,0,0,0,0,0,0
