GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,1,1,17,11,28,8,19,27,10,14,24
3.750-3.999,2,0,2,16,19,35,41,23,64,72,73,145
3.500-3.749,5,1,6,28,13,41,69,31,100,146,78,224
3.250-3.499,4,2,6,34,18,52,77,25,102,171,54,225
3.000-3.249,5,1,6,38,11,49,74,18,92,168,37,205
2.750-2.999,4,0,4,24,3,27,63,9,72,105,18,123
2.500-2.749,3,2,5,17,0,17,33,4,37,69,11,80
2.250-2.499,4,2,6,2,4,6,15,2,17,25,3,28
2.000-2.249,2,1,3,4,0,4,9,4,13,4,2,6
1.750-1.999,0,0,0,2,0,2,1,2,3,0,0,0
1.500-1.749,0,0,0,1,0,1,1,1,2,0,0,0
1.250-1.499,0,1,1,0,0,0,0,0,0,0,0,0
1.000-1.249,0,0,0,0,0,0,0,0,0,0,0,0
0.750-0.999,0,1,1,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,0,0,1,0,1,0,0,0
