GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,4,9,13,9,5,14,4,8,12,5,5,10
3.750-3.999,8,1,9,7,5,12,11,7,18,17,26,43
3.500-3.749,14,5,19,16,14,30,16,13,29,43,27,70
3.250-3.499,12,6,18,15,12,27,15,11,26,45,28,73
3.000-3.249,12,14,26,15,12,27,25,8,33,44,25,69
2.750-2.999,14,6,20,18,23,41,19,16,35,32,30,62
2.500-2.749,12,10,22,22,22,44,16,12,28,31,16,47
2.250-2.499,14,10,24,19,11,30,12,14,26,21,20,41
2.000-2.249,15,8,23,8,8,16,13,6,19,18,6,24
1.750-1.999,2,7,9,8,4,12,4,8,12,5,4,9
1.500-1.749,8,9,17,6,2,8,2,1,3,1,1,2
1.250-1.499,8,4,12,3,1,4,1,0,1,0,1,1
1.000-1.249,5,3,8,1,0,1,1,1,2,0,0,0
0.750-0.999,2,1,3,1,1,2,0,0,0,0,1,1
0.500-0.749,3,3,6,0,1,1,0,0,0,0,0,0
0.250-0.499,2,2,4,0,1,1,0,0,0,0,0,0
0.000-0.249,6,3,9,0,1,1,0,0,0,0,0,0
