GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,24,21,45,50,89,139,33,68,101,46,71,117
3.750-3.999,5,7,12,19,38,57,36,64,100,100,165,265
3.500-3.749,8,19,27,26,41,67,24,45,69,53,140,193
3.250-3.499,6,7,13,12,38,50,27,41,68,46,124,170
3.000-3.249,9,18,27,13,53,66,19,33,52,26,76,102
2.750-2.999,4,9,13,6,22,28,13,34,47,17,61,78
2.500-2.749,3,8,11,8,20,28,10,30,40,19,40,59
2.250-2.499,1,7,8,5,12,17,3,15,18,7,18,25
2.000-2.249,2,10,12,4,8,12,3,10,13,3,13,16
1.750-1.999,1,6,7,1,6,7,2,3,5,1,4,5
1.500-1.749,2,3,5,0,3,3,1,6,7,0,0,0
1.250-1.499,0,6,6,2,1,3,0,3,3,0,0,0
1.000-1.249,0,3,3,0,1,1,0,1,1,0,0,0
0.750-0.999,1,2,3,0,0,0,0,1,1,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,1,0,1,0,0,0,0,0,0,0,0,0
0.000-0.249,1,4,5,0,0,0,0,0,0,0,0,0
