GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,7,3,10,9,16,25,17,35,52,19,36,55
3.750-3.999,2,0,2,14,11,25,32,59,91,46,99,145
3.500-3.749,0,1,1,8,22,30,38,69,107,64,122,186
3.250-3.499,1,1,2,7,21,28,64,76,140,104,147,251
3.000-3.249,4,1,5,22,24,46,54,66,120,109,139,248
2.750-2.999,1,1,2,5,12,17,32,36,68,102,137,239
2.500-2.749,1,6,7,12,17,29,36,33,69,97,83,180
2.250-2.499,1,1,2,7,8,15,23,17,40,83,52,135
2.000-2.249,0,1,1,13,5,18,19,11,30,28,28,56
1.750-1.999,1,0,1,2,1,3,5,5,10,3,8,11
1.500-1.749,1,0,1,0,1,1,1,0,1,0,1,1
1.250-1.499,0,0,0,0,0,0,0,0,0,0,0,0
1.000-1.249,0,0,0,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,2,0,2,0,3,3,0,0,0
