GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,305,98,403,410,107,517,315,95,410,705,291,996
3.750-3.999,123,31,154,244,70,314,199,57,256,549,174,723
3.500-3.749,207,70,277,331,90,421,308,85,393,759,254,1013
3.250-3.499,174,47,221,299,84,383,304,94,398,704,213,917
3.000-3.249,346,82,428,432,110,542,412,102,514,834,236,1070
2.750-2.999,141,39,180,221,64,285,253,63,316,429,105,534
2.500-2.749,126,40,166,235,55,290,219,58,277,396,107,503
2.250-2.499,80,25,105,150,31,181,146,36,182,236,61,297
2.000-2.249,137,31,168,143,35,178,131,23,154,176,52,228
1.750-1.999,39,3,42,50,16,66,50,6,56,65,23,88
1.500-1.749,28,7,35,41,6,47,51,13,64,63,12,75
1.250-1.499,21,6,27,31,8,39,29,6,35,39,5,44
1.000-1.249,41,7,48,30,9,39,23,3,26,33,6,39
0.750-0.999,3,3,6,10,4,14,9,2,11,10,2,12
0.500-0.749,8,1,9,7,0,7,14,3,17,9,4,13
0.250-0.499,3,0,3,6,1,7,9,1,10,8,1,9
0.000-0.249,55,10,65,27,6,33,40,6,46,43,12,55
