GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,45,51,96,54,71,125,48,38,86,105,113,218
3.750-3.999,13,8,21,20,19,39,32,25,57,34,56,90
3.500-3.749,31,37,68,43,54,97,50,28,78,63,85,148
3.250-3.499,16,36,52,32,46,78,31,26,57,59,51,110
3.000-3.249,24,30,54,38,56,94,45,52,97,54,70,124
2.750-2.999,14,13,27,16,19,35,21,18,39,32,31,63
2.500-2.749,10,24,34,20,32,52,24,33,57,35,40,75
2.250-2.499,12,20,32,18,15,33,23,20,43,26,26,52
2.000-2.249,4,22,26,9,15,24,14,11,25,17,19,36
1.750-1.999,0,4,4,6,5,11,3,4,7,8,2,10
1.500-1.749,12,5,17,5,7,12,8,6,14,11,3,14
1.250-1.499,2,7,9,1,2,3,1,3,4,5,2,7
1.000-1.249,2,2,4,2,4,6,2,2,4,2,2,4
0.750-0.999,2,2,4,1,4,5,2,1,3,0,0,0
0.500-0.749,0,3,3,1,1,2,2,2,4,1,1,2
0.250-0.499,2,0,2,1,0,1,0,1,1,0,0,0
0.000-0.249,4,2,6,7,5,12,13,3,16,11,11,22
