GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,506,437,943,862,960,1822,766,998,1764,1754,2608,4362
3.750-3.999,224,177,401,518,558,1076,552,690,1242,1091,1328,2419
3.500-3.749,371,351,722,772,724,1496,880,887,1767,1691,1760,3451
3.250-3.499,295,262,557,689,624,1313,862,788,1650,1617,1394,3011
3.000-3.249,563,383,946,871,767,1638,1087,858,1945,1894,1459,3353
2.750-2.999,234,206,440,464,359,823,618,432,1050,969,623,1592
2.500-2.749,246,209,455,447,337,784,563,401,964,937,613,1550
2.250-2.499,156,123,279,314,215,529,374,252,626,567,374,941
2.000-2.249,206,153,359,277,212,489,330,175,505,505,316,821
1.750-1.999,64,51,115,101,80,181,113,57,170,160,103,263
1.500-1.749,63,47,110,88,61,149,132,82,214,179,86,265
1.250-1.499,35,35,70,66,38,104,70,40,110,81,52,133
1.000-1.249,58,29,87,61,39,100,61,28,89,84,62,146
0.750-0.999,14,18,32,21,15,36,20,13,33,29,24,53
0.500-0.749,24,8,32,26,15,41,33,17,50,30,21,51
0.250-0.499,10,8,18,18,4,22,15,8,23,22,7,29
0.000-0.249,107,55,162,89,55,144,112,60,172,164,288,452
