GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,3,1,4,31,66,97,41,79,120,155,332,487
3.750-3.999,4,3,7,24,46,70,46,78,124,98,184,282
3.500-3.749,4,5,9,35,72,107,88,121,209,181,289,470
3.250-3.499,12,4,16,32,67,99,84,136,220,189,234,423
3.000-3.249,11,14,25,65,83,148,116,146,262,233,281,514
2.750-2.999,4,13,17,27,57,84,72,92,164,130,143,273
2.500-2.749,5,12,17,40,51,91,81,74,155,135,126,261
2.250-2.499,7,9,16,23,34,57,59,42,101,96,75,171
2.000-2.249,8,4,12,24,24,48,47,44,91,90,90,180
1.750-1.999,2,2,4,7,14,21,23,11,34,29,38,67
1.500-1.749,2,1,3,4,16,20,19,21,40,19,21,40
1.250-1.499,0,1,1,2,6,8,12,9,21,18,12,30
1.000-1.249,1,1,2,2,2,4,8,7,15,16,16,32
0.750-0.999,2,0,2,1,3,4,4,0,4,2,2,4
0.500-0.749,1,1,2,3,2,5,0,3,3,8,3,11
0.250-0.499,0,0,0,1,1,2,0,0,0,3,2,5
0.000-0.249,3,4,7,8,8,16,14,11,25,25,18,43
