GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,124,32,156,402,119,521,285,88,373,719,333,1052
3.750-3.999,32,5,37,220,84,304,159,54,213,489,182,671
3.500-3.749,84,20,104,261,69,330,245,65,310,731,240,971
3.250-3.499,66,14,80,255,73,328,286,96,382,700,196,896
3.000-3.249,204,44,248,370,97,467,433,112,545,842,207,1049
2.750-2.999,49,10,59,156,56,212,242,62,304,438,107,545
2.500-2.749,55,19,74,164,58,222,268,64,332,386,88,474
2.250-2.499,54,6,60,114,26,140,164,42,206,247,65,312
2.000-2.249,90,18,108,105,35,140,171,29,200,207,48,255
1.750-1.999,22,7,29,35,10,45,51,11,62,66,18,84
1.500-1.749,17,3,20,36,10,46,49,4,53,65,11,76
1.250-1.499,10,6,16,29,7,36,28,2,30,34,7,41
1.000-1.249,35,7,42,28,4,32,31,3,34,27,5,32
0.750-0.999,6,3,9,11,0,11,9,3,12,6,4,10
0.500-0.749,7,2,9,12,1,13,12,2,14,11,1,12
0.250-0.499,7,0,7,8,1,9,6,0,6,5,0,5
0.000-0.249,46,11,57,40,6,46,40,6,46,54,16,70
