GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,4,4,13,8,21,10,14,24,47,39,86
3.750-3.999,1,1,2,5,5,10,13,8,21,26,21,47
3.500-3.749,6,1,7,10,12,22,12,10,22,64,40,104
3.250-3.499,5,4,9,27,10,37,16,15,31,60,34,94
3.000-3.249,9,4,13,25,19,44,39,21,60,83,47,130
2.750-2.999,11,3,14,26,16,42,31,9,40,34,28,62
2.500-2.749,10,11,21,22,7,29,18,14,32,51,16,67
2.250-2.499,5,8,13,21,10,31,11,3,14,23,12,35
2.000-2.249,9,6,15,20,6,26,17,2,19,32,18,50
1.750-1.999,4,1,5,7,4,11,4,4,8,12,5,17
1.500-1.749,7,4,11,6,6,12,3,7,10,6,1,7
1.250-1.499,2,1,3,2,2,4,3,2,5,5,2,7
1.000-1.249,4,2,6,2,3,5,3,2,5,1,4,5
0.750-0.999,2,2,4,0,2,2,1,1,2,1,0,1
0.500-0.749,2,3,5,0,0,0,1,0,1,1,1,2
0.250-0.499,2,0,2,0,1,1,0,1,1,1,0,1
0.000-0.249,9,7,16,6,0,6,2,7,9,8,4,12
