GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,8,58,66,23,177,200,58,303,361,102,708,810
3.750-3.999,12,31,43,19,113,132,46,136,182,86,330,416
3.500-3.749,7,30,37,42,114,156,62,157,219,109,319,428
3.250-3.499,13,37,50,30,71,101,53,92,145,94,205,299
3.000-3.249,12,41,53,29,82,111,49,76,125,94,149,243
2.750-2.999,8,21,29,18,26,44,31,33,64,51,58,109
2.500-2.749,7,22,29,15,25,40,30,31,61,35,46,81
2.250-2.499,8,10,18,12,13,25,17,18,35,23,15,38
2.000-2.249,9,9,18,15,15,30,7,10,17,25,17,42
1.750-1.999,3,3,6,4,1,5,6,4,10,2,4,6
1.500-1.749,2,3,5,4,8,12,4,3,7,5,4,9
1.250-1.499,2,0,2,7,3,10,3,1,4,0,2,2
1.000-1.249,4,3,7,2,6,8,5,3,8,2,1,3
0.750-0.999,0,2,2,0,1,1,1,2,3,0,0,0
0.500-0.749,1,0,1,1,2,3,3,4,7,2,0,2
0.250-0.499,0,0,0,0,1,1,0,0,0,1,1,2
0.000-0.249,4,3,7,2,6,8,4,6,10,19,142,161
