GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,1,1,2,13,18,31,40,22,62,84,97,181
3.750-3.999,2,0,2,7,5,12,7,8,15,20,23,43
3.500-3.749,1,1,2,5,8,13,25,10,35,50,38,88
3.250-3.499,0,3,3,8,11,19,16,14,30,32,24,56
3.000-3.249,3,1,4,12,4,16,12,14,26,46,23,69
2.750-2.999,1,0,1,3,0,3,7,3,10,9,6,15
2.500-2.749,0,1,1,5,2,7,1,6,7,12,12,24
2.250-2.499,0,1,1,1,2,3,1,3,4,8,7,15
2.000-2.249,0,0,0,4,1,5,5,5,10,5,0,5
1.750-1.999,0,0,0,0,0,0,0,0,0,2,2,4
1.500-1.749,0,0,0,1,0,1,2,1,3,0,3,3
1.250-1.499,0,0,0,0,1,1,1,1,2,1,0,1
1.000-1.249,1,0,1,0,0,0,1,0,1,6,2,8
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,1,0,1,3,0,3,6,1,7,15,9,24
