GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,15,17,32,100,113,213,96,102,198,221,206,427
3.750-3.999,2,1,3,15,8,23,26,28,54,43,51,94
3.500-3.749,7,8,15,42,61,103,43,37,80,79,115,194
3.250-3.499,5,7,12,28,41,69,27,37,64,65,56,121
3.000-3.249,8,6,14,21,36,57,31,28,59,65,59,124
2.750-2.999,4,2,6,9,8,17,4,11,15,17,19,36
2.500-2.749,3,8,11,8,10,18,8,9,17,11,17,28
2.250-2.499,0,2,2,3,5,8,0,5,5,6,8,14
2.000-2.249,2,2,4,3,4,7,5,7,12,9,4,13
1.750-1.999,3,2,5,0,2,2,0,0,0,7,1,8
1.500-1.749,0,0,0,1,0,1,1,1,2,2,4,6
1.250-1.499,0,0,0,1,0,1,0,0,0,0,0,0
1.000-1.249,0,0,0,0,1,1,1,1,2,4,1,5
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,3,1,4,11,4,15,13,3,16,30,13,43
