GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,459,115,574,446,124,570,356,119,475,1022,371,1393
3.750-3.999,192,46,238,218,65,283,208,55,263,641,194,835
3.500-3.749,305,77,382,291,77,368,315,86,401,877,259,1136
3.250-3.499,227,46,273,255,79,334,334,80,414,772,238,1010
3.000-3.249,425,102,527,348,112,460,370,106,476,959,245,1204
2.750-2.999,118,38,156,172,53,225,216,65,281,465,137,602
2.500-2.749,120,42,162,169,46,215,226,57,283,456,104,560
2.250-2.499,88,19,107,124,37,161,147,33,180,278,63,341
2.000-2.249,137,32,169,142,38,180,145,43,188,235,54,289
1.750-1.999,29,3,32,55,17,72,49,8,57,74,20,94
1.500-1.749,28,3,31,41,13,54,56,16,72,82,13,95
1.250-1.499,28,4,32,29,8,37,18,10,28,33,7,40
1.000-1.249,38,8,46,33,10,43,31,7,38,49,8,57
0.750-0.999,9,2,11,10,2,12,12,0,12,10,2,12
0.500-0.749,15,3,18,10,1,11,15,2,17,16,2,18
0.250-0.499,7,1,8,10,0,10,8,2,10,7,0,7
0.000-0.249,104,24,128,58,8,66,57,15,72,101,23,124
