GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,39,87,126,73,173,246,100,258,358,218,596,814
3.750-3.999,21,40,61,56,129,185,105,189,294,146,303,449
3.500-3.749,26,50,76,56,130,186,99,218,317,194,320,514
3.250-3.499,27,44,71,58,125,183,107,182,289,150,281,431
3.000-3.249,28,43,71,70,119,189,136,203,339,208,288,496
2.750-2.999,8,28,36,39,50,89,44,93,137,106,122,228
2.500-2.749,19,15,34,40,48,88,69,80,149,88,126,214
2.250-2.499,10,13,23,19,28,47,38,55,93,45,62,107
2.000-2.249,7,10,17,29,16,45,31,35,66,48,90,138
1.750-1.999,6,5,11,9,8,17,6,10,16,14,15,29
1.500-1.749,4,10,14,6,3,9,15,12,27,20,15,35
1.250-1.499,2,3,5,4,2,6,6,8,14,12,11,23
1.000-1.249,2,1,3,3,7,10,6,10,16,16,9,25
0.750-0.999,0,2,2,3,2,5,2,3,5,3,3,6
0.500-0.749,2,1,3,1,3,4,8,5,13,6,4,10
0.250-0.499,0,2,2,0,2,2,4,4,8,1,1,2
0.000-0.249,7,9,16,15,13,28,21,21,42,25,20,45
