GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,1,1,9,6,15,11,8,19,57,64,121
3.750-3.999,0,1,1,5,1,6,9,8,17,24,18,42
3.500-3.749,2,2,4,5,7,12,11,13,24,50,41,91
3.250-3.499,0,3,3,6,9,15,19,13,32,33,24,57
3.000-3.249,2,3,5,7,14,21,12,18,30,32,19,51
2.750-2.999,1,0,1,2,6,8,14,7,21,18,18,36
2.500-2.749,2,0,2,6,6,12,11,10,21,24,14,38
2.250-2.499,2,1,3,4,0,4,6,3,9,9,4,13
2.000-2.249,0,1,1,2,1,3,2,3,5,13,8,21
1.750-1.999,0,0,0,1,0,1,0,0,0,6,2,8
1.500-1.749,0,0,0,1,4,5,1,1,2,4,3,7
1.250-1.499,0,0,0,0,0,0,3,0,3,3,3,6
1.000-1.249,1,0,1,2,1,3,2,0,2,4,0,4
0.750-0.999,0,0,0,0,0,0,3,1,4,2,0,2
0.500-0.749,1,0,1,1,0,1,0,0,0,0,1,1
0.250-0.499,0,0,0,0,0,0,1,0,1,2,0,2
0.000-0.249,0,0,0,3,2,5,10,0,10,3,3,6
