GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,11,6,17,31,39,70,48,29,77,151,79,230
3.750-3.999,10,5,15,26,18,44,32,21,53,55,40,95
3.500-3.749,8,6,14,33,10,43,65,23,88,83,45,128
3.250-3.499,10,8,18,29,20,49,58,14,72,105,41,146
3.000-3.249,19,5,24,32,18,50,75,11,86,136,22,158
2.750-2.999,9,2,11,17,3,20,44,10,54,51,12,63
2.500-2.749,3,2,5,12,5,17,45,6,51,52,8,60
2.250-2.499,2,3,5,8,2,10,12,7,19,34,4,38
2.000-2.249,2,1,3,4,1,5,10,5,15,14,4,18
1.750-1.999,3,1,4,1,1,2,5,1,6,3,1,4
1.500-1.749,0,1,1,2,0,2,2,1,3,3,0,3
1.250-1.499,0,1,1,1,1,2,1,0,1,1,0,1
1.000-1.249,1,2,3,2,0,2,2,0,2,0,1,1
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,1,0,1,1,0,1,1,0,1,1,1,2
0.250-0.499,1,0,1,1,0,1,0,0,0,0,0,0
0.000-0.249,1,0,1,2,0,2,5,1,6,4,3,7
