GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,6,11,17,15,79,94,32,143,175,84,400,484
3.750-3.999,5,15,20,27,56,83,23,101,124,55,153,208
3.500-3.749,8,21,29,18,53,71,46,77,123,72,177,249
3.250-3.499,10,18,28,27,51,78,42,63,105,80,128,208
3.000-3.249,10,26,36,21,50,71,32,60,92,64,101,165
2.750-2.999,2,5,7,19,12,31,20,19,39,24,41,65
2.500-2.749,7,15,22,16,6,22,18,24,42,23,28,51
2.250-2.499,5,5,10,5,6,11,4,9,13,21,13,34
2.000-2.249,3,5,8,6,6,12,11,9,20,16,13,29
1.750-1.999,4,2,6,1,0,1,5,2,7,5,2,7
1.500-1.749,0,3,3,5,0,5,7,3,10,2,2,4
1.250-1.499,2,0,2,0,1,1,2,2,4,1,3,4
1.000-1.249,0,4,4,1,1,2,2,1,3,3,4,7
0.750-0.999,0,0,0,1,0,1,0,0,0,1,0,1
0.500-0.749,0,0,0,0,1,1,0,0,0,1,0,1
0.250-0.499,0,0,0,0,0,0,1,0,1,0,0,0
0.000-0.249,0,1,1,2,1,3,3,4,7,15,104,119
