GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,38,24,62,203,136,339,141,149,290,252,351,603
3.750-3.999,23,29,52,101,104,205,101,109,210,113,185,298
3.500-3.749,23,24,47,107,89,196,106,104,210,209,162,371
3.250-3.499,28,24,52,77,61,138,101,87,188,196,116,312
3.000-3.249,33,20,53,65,56,121,92,72,164,147,117,264
2.750-2.999,22,9,31,28,31,59,52,35,87,58,35,93
2.500-2.749,14,9,23,23,22,45,38,26,64,67,33,100
2.250-2.499,12,5,17,16,15,31,24,14,38,35,27,62
2.000-2.249,7,5,12,12,4,16,20,17,37,29,14,43
1.750-1.999,0,2,2,3,8,11,5,4,9,4,2,6
1.500-1.749,1,2,3,3,2,5,8,7,15,6,4,10
1.250-1.499,1,0,1,2,1,3,1,2,3,4,1,5
1.000-1.249,1,0,1,2,2,4,2,1,3,2,1,3
0.750-0.999,1,0,1,1,1,2,1,0,1,0,0,0
0.500-0.749,0,1,1,1,0,1,1,0,1,1,0,1
0.250-0.499,0,0,0,0,2,2,0,0,0,2,1,3
0.000-0.249,1,2,3,5,4,9,8,0,8,8,16,24
