GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,2,5,7,27,27,54,73,69,142,186,166,352
3.750-3.999,2,3,5,31,27,58,49,26,75,69,49,118
3.500-3.749,4,1,5,34,17,51,78,33,111,105,71,176
3.250-3.499,2,4,6,35,19,54,80,35,115,129,47,176
3.000-3.249,5,3,8,25,20,45,82,20,102,198,51,249
2.750-2.999,4,1,5,11,5,16,39,9,48,87,14,101
2.500-2.749,1,2,3,10,5,15,28,11,39,90,24,114
2.250-2.499,1,1,2,8,0,8,28,10,38,33,18,51
2.000-2.249,1,4,5,6,3,9,14,8,22,41,12,53
1.750-1.999,1,0,1,4,0,4,9,0,9,9,3,12
1.500-1.749,0,2,2,5,1,6,7,0,7,9,6,15
1.250-1.499,1,1,2,2,0,2,4,2,6,4,2,6
1.000-1.249,1,0,1,2,0,2,2,0,2,4,3,7
0.750-0.999,0,0,0,1,0,1,1,0,1,0,1,1
0.500-0.749,0,0,0,0,0,0,0,2,2,1,1,2
0.250-0.499,0,0,0,1,0,1,0,0,0,1,1,2
0.000-0.249,1,1,2,6,1,7,7,0,7,11,6,17
