GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,2,4,6,9,10,19,5,7,12,30,51,81
3.750-3.999,3,1,4,12,7,19,6,4,10,27,25,52
3.500-3.749,4,2,6,17,19,36,15,11,26,49,42,91
3.250-3.499,5,2,7,11,16,27,17,13,30,55,26,81
3.000-3.249,7,4,11,28,15,43,20,16,36,63,27,90
2.750-2.999,8,2,10,22,12,34,16,6,22,22,13,35
2.500-2.749,10,3,13,30,9,39,17,11,28,22,11,33
2.250-2.499,4,2,6,8,7,15,12,5,17,12,4,16
2.000-2.249,8,6,14,14,7,21,9,5,14,11,5,16
1.750-1.999,9,0,9,9,3,12,4,6,10,5,3,8
1.500-1.749,8,6,14,6,4,10,3,1,4,5,2,7
1.250-1.499,6,2,8,3,2,5,2,1,3,1,1,2
1.000-1.249,5,4,9,0,0,0,1,2,3,2,1,3
0.750-0.999,5,2,7,2,0,2,1,0,1,0,0,0
0.500-0.749,3,1,4,3,1,4,1,1,2,1,0,1
0.250-0.499,3,1,4,0,0,0,0,0,0,0,0,0
0.000-0.249,14,2,16,3,4,7,2,1,3,20,2,22
