GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,24,55,79,69,129,198,94,166,260,191,378,569
3.750-3.999,13,26,39,41,77,118,92,119,211,116,212,328
3.500-3.749,46,84,130,68,135,203,99,173,272,199,297,496
3.250-3.499,30,70,100,72,115,187,117,148,265,181,223,404
3.000-3.249,52,84,136,79,123,202,135,168,303,201,226,427
2.750-2.999,18,50,68,34,53,87,72,66,138,116,144,260
2.500-2.749,19,46,65,24,48,72,75,82,157,136,132,268
2.250-2.499,7,26,33,30,36,66,47,48,95,62,69,131
2.000-2.249,10,21,31,17,32,49,40,33,73,79,67,146
1.750-1.999,7,11,18,2,14,16,12,11,23,19,25,44
1.500-1.749,7,15,22,8,13,21,10,14,24,15,21,36
1.250-1.499,2,8,10,2,3,5,6,6,12,12,14,26
1.000-1.249,6,5,11,5,5,10,4,6,10,11,6,17
0.750-0.999,3,1,4,0,2,2,6,4,10,5,2,7
0.500-0.749,1,1,2,2,2,4,2,1,3,5,1,6
0.250-0.499,1,3,4,1,2,3,3,2,5,3,2,5
0.000-0.249,10,7,17,12,7,19,16,15,31,15,17,32
