GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,4,3,7,10,9,19,12,8,20,33,37,70
3.750-3.999,10,4,14,16,3,19,8,6,14,22,9,31
3.500-3.749,20,6,26,23,9,32,20,15,35,32,30,62
3.250-3.499,9,10,19,19,8,27,18,13,31,41,16,57
3.000-3.249,18,8,26,25,11,36,19,18,37,49,22,71
2.750-2.999,9,7,16,15,7,22,17,8,25,19,8,27
2.500-2.749,22,18,40,13,10,23,16,8,24,21,18,39
2.250-2.499,15,5,20,13,12,25,10,8,18,17,12,29
2.000-2.249,15,10,25,10,10,20,7,9,16,14,9,23
1.750-1.999,4,4,8,1,3,4,1,2,3,0,1,1
1.500-1.749,14,6,20,4,5,9,4,5,9,2,7,9
1.250-1.499,6,2,8,5,3,8,2,1,3,0,2,2
1.000-1.249,6,4,10,2,7,9,3,1,4,2,3,5
0.750-0.999,3,6,9,1,0,1,0,0,0,1,1,2
0.500-0.749,5,2,7,2,2,4,0,0,0,0,1,1
0.250-0.499,2,2,4,1,1,2,0,0,0,0,0,0
0.000-0.249,10,6,16,2,2,4,1,3,4,5,2,7
