GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,8,8,16,7,8,15,7,10,17,16,25,41
3.750-3.999,6,6,12,7,5,12,5,2,7,14,7,21
3.500-3.749,10,15,25,6,12,18,11,5,16,12,12,24
3.250-3.499,5,5,10,13,9,22,8,7,15,9,9,18
3.000-3.249,8,4,12,14,11,25,12,12,24,22,16,38
2.750-2.999,5,4,9,6,6,12,9,8,17,11,7,18
2.500-2.749,5,6,11,10,6,16,6,3,9,6,14,20
2.250-2.499,1,4,5,2,3,5,7,3,10,6,8,14
2.000-2.249,8,3,11,3,3,6,5,2,7,3,5,8
1.750-1.999,5,0,5,2,2,4,2,2,4,1,4,5
1.500-1.749,5,1,6,0,0,0,1,1,2,2,1,3
1.250-1.499,0,2,2,0,1,1,0,0,0,2,1,3
1.000-1.249,1,1,2,1,0,1,0,1,1,0,0,0
0.750-0.999,0,1,1,0,0,0,0,0,0,0,0,0
0.500-0.749,1,0,1,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,5,3,8,0,0,0,2,0,2,0,0,0
