GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,90,117,207,344,522,866,284,515,799,515,1116,1631
3.750-3.999,16,24,40,117,188,305,158,300,458,256,492,748
3.500-3.749,43,64,107,190,338,528,226,401,627,449,734,1183
3.250-3.499,45,43,88,154,215,369,211,344,555,347,540,887
3.000-3.249,80,100,180,206,308,514,227,315,542,403,604,1007
2.750-2.999,25,25,50,92,111,203,103,147,250,173,244,417
2.500-2.749,37,41,78,94,134,228,109,167,276,192,258,450
2.250-2.499,22,17,39,62,76,138,64,85,149,106,144,250
2.000-2.249,39,39,78,65,62,127,69,69,138,113,137,250
1.750-1.999,6,10,16,20,20,40,14,36,50,40,39,79
1.500-1.749,13,11,24,19,25,44,24,25,49,49,50,99
1.250-1.499,12,16,28,11,9,20,16,11,27,32,28,60
1.000-1.249,5,8,13,18,16,34,12,12,24,23,36,59
0.750-0.999,2,2,4,5,3,8,2,4,6,5,4,9
0.500-0.749,6,2,8,21,4,25,4,11,15,10,13,23
0.250-0.499,3,2,5,5,2,7,5,6,11,4,7,11
0.000-0.249,26,24,50,38,37,75,37,17,54,66,58,124
