GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,6,1,7,6,8,14,4,11,15,8,13,21
3.750-3.999,4,5,9,6,5,11,7,5,12,12,11,23
3.500-3.749,2,5,7,5,9,14,8,10,18,13,17,30
3.250-3.499,8,5,13,6,4,10,9,7,16,13,23,36
3.000-3.249,10,5,15,9,7,16,8,7,15,18,26,44
2.750-2.999,6,6,12,4,1,5,10,7,17,8,7,15
2.500-2.749,8,3,11,4,5,9,8,1,9,14,13,27
2.250-2.499,2,3,5,3,3,6,2,4,6,9,9,18
2.000-2.249,2,5,7,6,3,9,6,3,9,8,6,14
1.750-1.999,0,2,2,2,0,2,0,1,1,4,1,5
1.500-1.749,2,0,2,1,2,3,3,0,3,2,0,2
1.250-1.499,1,0,1,2,0,2,0,3,3,1,1,2
1.000-1.249,0,1,1,1,0,1,1,1,2,0,0,0
0.750-0.999,1,0,1,0,0,0,0,0,0,0,0,0
0.500-0.749,1,0,1,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,3,1,4,0,1,1,0,0,0,0,1,1
