GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,5,7,12,20,29,49,38,57,95,61,108,169
3.750-3.999,5,3,8,20,31,51,23,35,58,46,36,82
3.500-3.749,9,4,13,36,23,59,30,28,58,59,41,100
3.250-3.499,6,10,16,22,20,42,25,32,57,33,33,66
3.000-3.249,4,4,8,15,10,25,30,17,47,43,32,75
2.750-2.999,7,4,11,6,4,10,12,3,15,12,16,28
2.500-2.749,1,1,2,6,5,11,14,8,22,12,9,21
2.250-2.499,1,1,2,3,6,9,8,5,13,7,8,15
2.000-2.249,3,0,3,4,5,9,5,3,8,8,4,12
1.750-1.999,0,0,0,1,0,1,2,3,5,3,4,7
1.500-1.749,1,0,1,2,2,4,2,0,2,3,2,5
1.250-1.499,0,1,1,1,0,1,1,0,1,4,3,7
1.000-1.249,0,0,0,2,0,2,2,0,2,3,0,3
0.750-0.999,0,0,0,1,1,2,0,0,0,1,1,2
0.500-0.749,0,0,0,1,0,1,1,0,1,0,0,0
0.250-0.499,0,0,0,0,0,0,1,0,1,2,0,2
0.000-0.249,2,1,3,1,2,3,3,5,8,10,9,19
