GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,24,21,45,61,107,168,55,102,157,136,248,384
3.750-3.999,5,7,12,11,32,43,14,33,47,29,81,110
3.500-3.749,8,20,28,23,43,66,28,60,88,47,107,154
3.250-3.499,6,7,13,18,34,52,28,38,66,35,77,112
3.000-3.249,9,18,27,9,45,54,21,32,53,29,81,110
2.750-2.999,4,9,13,7,16,23,6,19,25,12,26,38
2.500-2.749,4,8,12,7,23,30,6,14,20,13,29,42
2.250-2.499,0,6,6,3,9,12,5,13,18,4,17,21
2.000-2.249,2,10,12,2,8,10,3,17,20,6,17,23
1.750-1.999,1,6,7,2,5,7,2,7,9,1,8,9
1.500-1.749,2,3,5,0,5,5,2,6,8,0,7,7
1.250-1.499,0,6,6,2,2,4,0,3,3,0,2,2
1.000-1.249,0,3,3,0,1,1,0,3,3,2,5,7
0.750-0.999,1,2,3,0,0,0,0,2,2,0,0,0
0.500-0.749,0,0,0,0,0,0,1,0,1,1,1,2
0.250-0.499,1,0,1,0,0,0,0,0,0,0,0,0
0.000-0.249,1,4,5,1,2,3,0,5,5,3,6,9
