GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,5,11,16,61,112,173,86,185,271,214,452,666
3.750-3.999,5,7,12,35,58,93,97,128,225,166,250,416
3.500-3.749,17,20,37,67,110,177,131,166,297,219,328,547
3.250-3.499,7,20,27,62,104,166,107,171,278,195,250,445
3.000-3.249,13,28,41,73,110,183,130,149,279,257,285,542
2.750-2.999,11,21,32,24,51,75,79,70,149,122,142,264
2.500-2.749,8,22,30,32,63,95,67,65,132,133,115,248
2.250-2.499,7,20,27,23,32,55,26,50,76,88,71,159
2.000-2.249,8,9,17,17,19,36,40,36,76,60,75,135
1.750-1.999,2,5,7,8,13,21,13,13,26,24,23,47
1.500-1.749,2,5,7,9,13,22,12,10,22,17,28,45
1.250-1.499,1,3,4,5,6,11,7,5,12,15,19,34
1.000-1.249,2,1,3,1,3,4,6,5,11,8,10,18
0.750-0.999,1,1,2,0,2,2,0,5,5,2,2,4
0.500-0.749,0,1,1,0,0,0,4,0,4,3,4,7
0.250-0.499,0,0,0,0,2,2,3,0,3,2,1,3
0.000-0.249,4,8,12,8,3,11,12,13,25,12,12,24
