GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,118,110,228,413,470,883,893,1046,1939,1966,2300,4266
3.750-3.999,1,1,2,6,2,8,25,27,52,40,65,105
3.500-3.749,67,66,133,61,72,133,185,194,379,437,467,904
3.250-3.499,3,1,4,17,22,39,89,68,157,152,193,345
3.000-3.249,75,45,120,148,120,268,387,288,675,863,648,1511
2.750-2.999,0,2,2,14,5,19,20,15,35,51,49,100
2.500-2.749,23,19,42,24,16,40,81,56,137,180,113,293
2.250-2.499,1,0,1,10,7,17,27,13,40,37,49,86
2.000-2.249,33,16,49,77,56,133,147,80,227,313,246,559
1.750-1.999,0,0,0,2,3,5,4,7,11,8,9,17
1.500-1.749,3,5,8,8,5,13,17,19,36,41,31,72
1.250-1.499,0,1,1,5,1,6,7,5,12,8,9,17
1.000-1.249,3,4,7,15,13,28,36,20,56,59,63,122
0.750-0.999,1,1,2,1,0,1,0,1,1,1,2,3
0.500-0.749,0,0,0,0,1,1,4,5,9,11,8,19
0.250-0.499,0,0,0,0,1,1,1,1,2,1,3,4
0.000-0.249,40,30,70,45,40,85,165,135,300,528,409,937
