GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,2,0,2,23,23,46,36,33,69,82,115,197
3.750-3.999,0,3,3,16,15,31,21,36,57,39,43,82
3.500-3.749,1,1,2,12,12,24,26,35,61,54,53,107
3.250-3.499,2,0,2,18,11,29,24,18,42,35,30,65
3.000-3.249,4,1,5,18,12,30,36,20,56,37,32,69
2.750-2.999,0,0,0,6,7,13,13,10,23,12,12,24
2.500-2.749,0,3,3,6,7,13,7,5,12,17,14,31
2.250-2.499,0,0,0,4,4,8,6,2,8,9,5,14
2.000-2.249,1,1,2,6,5,11,10,2,12,6,5,11
1.750-1.999,0,0,0,1,1,2,1,2,3,3,0,3
1.500-1.749,0,1,1,2,0,2,2,0,2,3,3,6
1.250-1.499,0,0,0,0,1,1,0,1,1,1,0,1
1.000-1.249,0,0,0,0,1,1,1,1,2,1,2,3
0.750-0.999,1,0,1,1,1,2,0,0,0,2,0,2
0.500-0.749,0,0,0,0,0,0,0,0,0,0,2,2
0.250-0.499,0,0,0,0,0,0,2,0,2,1,0,1
0.000-0.249,0,1,1,3,0,3,6,3,9,12,13,25
