GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,341,204,545,1153,1124,2277,1148,1305,2453,2918,3860,6778
3.750-3.999,66,65,131,508,491,999,817,856,1673,1589,1633,3222
3.500-3.749,205,183,388,795,754,1549,1093,1022,2115,2207,2277,4484
3.250-3.499,138,104,242,644,657,1301,987,806,1793,1908,1493,3401
3.000-3.249,316,213,529,811,704,1515,1101,798,1899,2155,1484,3639
2.750-2.999,88,76,164,368,305,673,519,352,871,942,630,1572
2.500-2.749,116,114,230,367,326,693,473,315,788,878,566,1444
2.250-2.499,75,69,144,234,174,408,291,210,501,516,327,843
2.000-2.249,133,101,234,208,170,378,255,155,410,443,284,727
1.750-1.999,18,34,52,75,70,145,86,64,150,133,87,220
1.500-1.749,37,30,67,64,59,123,87,49,136,115,90,205
1.250-1.499,15,20,35,47,28,75,57,31,88,63,50,113
1.000-1.249,29,16,45,45,24,69,43,26,69,66,41,107
0.750-0.999,8,8,16,18,14,32,11,10,21,21,12,33
0.500-0.749,13,12,25,16,7,23,22,10,32,14,20,34
0.250-0.499,5,10,15,11,6,17,13,7,20,12,4,16
0.000-0.249,211,77,288,124,60,184,83,59,142,177,274,451
